id,title,author,release_date
30800,Nature Myths and Stories for Little Children,Flora J. Cooke,2009
39237,The Conquest,Oscar Micheaux,2012
56117,Genom mina guldbÃ¥gade glasÃ¶gon,Albert EngstrÃ¶m,2017
1834,The Case of The Pocket Diary Found in the Snow,Grace Isabel Colbron and Augusta Groner,1999
24789,"""Unto Caesar""",Baroness Emmuska Orczy,2008
34304,The Complete Story of the Galveston Horror,Various,2010
23894,Billie Bradley at Three Towers Hall,Janet D. Wheeler,2007
27804,The Boarding School,Unknown,2009
49798,The Boy Scouts as County Fair Guides,Robert Shaler,2015
3154,The Surprising Adventures of Baron Munchausen,Rudolph Erich Raspe,2006
31860,The Red Symbol,John Ironside,2010
2689,Over the Teacups,"Oliver Wendell Holmes, Sr.",2006
33066,The Garden of Eden,Max Brand,2010
44671,Jack in the Rockies,George Bird Grinnell,2014
53819,The Coil of Carne,John Oxenham,2016
53765,Kabumpo in Oz,Ruth Plumly Thompson,2016
15265,The Quest of the Silver Fleece,W. E. B. Du Bois,2005
3091,Eight Hundred Leagues on the Amazon,Jules Verne,0
31611,Robots of the World! Arise!,Mari Wolf,2010
36046,Vacation with the Tucker Twins,Nell Speed,2011
35819,Lonesome Town,Ethel and James Dorrance,2011
41982,The Outdoor Chums in the Forest,Quincy Allen,2013
792,Wieland; or The Transformation,Charles Brockden Brown,1997
60475,Peggy's Giant,M. D. Hillyard,2019
40364,The Blue Raider,Herbert Strang,2012
32719,Mr. President,Stephen Arr,2010
13077,Wild Western Scenes,John Beauchamp Jones,2004
44353,A Ticket to Adventure,Roy J. Snell,2013
43773,Shifting Sands,Sara Ware Bassett,2013
30911,The Demi-Urge,Thomas Michael Disch,2010
44928,The Liberty Girl,Rena I. Halsey,2014
1925,"Droll Stories, Volume 1",Honore de Balzac,2004
55815,Peggy Plays Off-Broadway,Virginia Hughes,2017
16654,The Lost Treasure of Trevlyn,Evelyn Everett-Green,2005
51758,From An Unseen Censor,Rosel George Brown,2016
53928,"Wide World Magazine, Vol. 22, No. 129, December, 1908",Various,2017
9502,The Room in the Dragon Volant,J. Sheridan LeFanu,2005
525,Youth,Joseph Conrad,1996
12189,Jim Waring of Sonora-Town,"Knibbs, Henry Herbert",2004
57216,Peli elämästä ja kuolemasta,Sven Elvestad,2018
31140,Young Auctioneers,Edward Stratemeyer,2013
21005,Shorty McCabe on the Job,Sewell Ford,2007
42925,The Conquest,Eva Emery Dye,2013
1729,The Deserted Woman,Honore de Balzac,1999
4536,"Sylvia's Lovers, Vol. III",Elizabeth Gaskell,2003
23142,In Search of El Dorado,Harry Collingwood,2007
5073,The War Terror,Arthur B. Reeve,2004
26540,Boy Scouts in the Canal Zone,G. Harvey Ralphson,2008
14630,Ruth Fielding on Cliff Island,Alice Emerson,2005
49227,Kittyleen,Sophie May,2015
20749,St. Ronan's Well,Sir Walter Scott,2007
14671,Dorothy Vernon of Haddon Hall,Charles Major,2005
23766,Out in the Forty-Five,Emily Sarah Holt,2007
31484,The Works of Robert Louis Stevenson - Swanston Edition Vol. 8 (of 25),Robert Louis Stevenson,2010
37188,Plish and Plum,Wilhelm Busch,2011
42840,Sisters,Grace May North,2013
42243,The Hour of the Dragon,Robert E. Howard,2013
30003,Law and Laughter,George Alexander Morton,2009
10372,Bunch Grass,Horace Annesley Vachell,2003
40480,The Quest of the Four,Joseph A. Altsheler,2012
31208,Collectivum,Mike Lewis,2010
34648,Les terres d'or,Gustave Aimard,2010
34988,The Professor's Mystery,Wells Hastings,2011
28780,Peter the Brazen,George F. Worts,2009
38400,"Un Cadet de Famille, v. 1/3",Edward John Trelawney,2012
18730,Lore of Proserpine,Maurice Hewlett,2006
1284,Tom Swift and his Air Scout,Victor Appleton,1998
23624,"Ride Proud, Rebel!",Andre Alice Norton,2007
15585,Humorous Masterpieces from American Literature,Various,2005
43266,Lost in the Wilds of Brazil,James H. Foster,2013
43916,Nothing But the Truth,Frederic S. Isham,2013
48144,The Mystery of the Iron Box,Samuel Epstein and Beryl Epstein,2015
60291,Bramble Bush,Alan E. Nourse,2019
47892,Main Currents in Nineteenth Century Literature - 4. Naturalism in England,Georg Brandes,2015
4402,Unknown,Unknown,0
